wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;anzspr;aenderung_am;aenderung_durch
BRGRAZ12;0206;GRÜNE;Die Grünen - Die Grüne Alternative;4;453;18;435;119;1;25.11.2012 07:22:12;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:22:20
BRGRAZ12;0206;KPÖ;Kommunistische Partei Österreichs;5;453;18;435;96;1;25.11.2012 07:22:12;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T19:22:20
BRGRAZ12;0207;SPÖ;Sozialdemokratische Partei Österreichs;1;430;31;399;44;1;25.11.2012 06:51:10;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:51:17
BRGRAZ12;0207;ÖVP;Österreichische Volkspartei;2;430;31;399;121;1;25.11.2012 06:51:10;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:51:17
BRGRAZ12;0207;FPÖ;Freiheitliche Partei Österreichs;3;430;31;399;39;1;25.11.2012 06:51:10;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:51:17
BRGRAZ12;0207;GRÜNE;Die Grünen - Die Grüne Alternative;4;430;31;399;122;1;25.11.2012 06:51:10;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:51:17
BRGRAZ12;0207;KPÖ;Kommunistische Partei Österreichs;5;430;31;399;73;1;25.11.2012 06:51:10;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:51:17
BRGRAZ12;0208;SPÖ;Sozialdemokratische Partei Österreichs;1;469;40;429;40;1;25.11.2012 10:15:18;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-25T22:15:27
BRGRAZ12;0208;ÖVP;Österreichische Volkspartei;2;469;40;429;138;1;25.11.2012 10:15:18;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-25T22:15:27
BRGRAZ12;0208;FPÖ;Freiheitliche Partei Österreichs;3;469;40;429;27;1;25.11.2012 10:15:18;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-25T22:15:27
BRGRAZ12;0208;GRÜNE;Die Grünen - Die Grüne Alternative;4;469;40;429;125;1;25.11.2012 10:15:18;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-25T22:15:27
BRGRAZ12;0208;KPÖ;Kommunistische Partei Österreichs;5;469;40;429;99;1;25.11.2012 10:15:18;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-25T22:15:27
BRGRAZ12;0209;SPÖ;Sozialdemokratische Partei Österreichs;1;430;47;383;48;1;25.11.2012 06:57:08;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:57:16
BRGRAZ12;0209;ÖVP;Österreichische Volkspartei;2;430;47;383;155;1;25.11.2012 06:57:08;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:57:16
BRGRAZ12;0209;FPÖ;Freiheitliche Partei Österreichs;3;430;47;383;42;1;25.11.2012 06:57:08;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:57:16
BRGRAZ12;0209;GRÜNE;Die Grünen - Die Grüne Alternative;4;430;47;383;64;1;25.11.2012 06:57:08;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:57:16
BRGRAZ12;0209;KPÖ;Kommunistische Partei Österreichs;5;430;47;383;74;1;25.11.2012 06:57:08;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:57:16
BRGRAZ12;0210;SPÖ;Sozialdemokratische Partei Österreichs;1;443;37;406;41;1;25.11.2012 06:32:56;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:33:03
BRGRAZ12;0210;ÖVP;Österreichische Volkspartei;2;443;37;406;136;1;25.11.2012 06:32:56;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:33:03
BRGRAZ12;0210;FPÖ;Freiheitliche Partei Österreichs;3;443;37;406;37;1;25.11.2012 06:32:56;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:33:03
BRGRAZ12;0210;GRÜNE;Die Grünen - Die Grüne Alternative;4;443;37;406;113;1;25.11.2012 06:32:56;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:33:03
BRGRAZ12;0210;KPÖ;Kommunistische Partei Österreichs;5;443;37;406;79;1;25.11.2012 06:32:56;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:33:03
BRGRAZ12;0211;SPÖ;Sozialdemokratische Partei Österreichs;1;413;32;381;42;1;25.11.2012 06:30:49;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T18:30:56
BRGRAZ12;0211;ÖVP;Österreichische Volkspartei;2;413;32;381;145;1;25.11.2012 06:30:49;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T18:30:56
BRGRAZ12;0211;FPÖ;Freiheitliche Partei Österreichs;3;413;32;381;67;1;25.11.2012 06:30:49;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T18:30:56
BRGRAZ12;0211;GRÜNE;Die Grünen - Die Grüne Alternative;4;413;32;381;89;1;25.11.2012 06:30:49;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T18:30:56
BRGRAZ12;0211;KPÖ;Kommunistische Partei Österreichs;5;413;32;381;38;1;25.11.2012 06:30:49;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T18:30:56
BRGRAZ12;0212;SPÖ;Sozialdemokratische Partei Österreichs;1;378;27;351;39;1;25.11.2012 06:05:15;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:05:22
BRGRAZ12;0212;ÖVP;Österreichische Volkspartei;2;378;27;351;113;1;25.11.2012 06:05:15;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:05:22
BRGRAZ12;0212;FPÖ;Freiheitliche Partei Österreichs;3;378;27;351;33;1;25.11.2012 06:05:15;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:05:22
BRGRAZ12;0212;GRÜNE;Die Grünen - Die Grüne Alternative;4;378;27;351;72;1;25.11.2012 06:05:15;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:05:22
BRGRAZ12;0212;KPÖ;Kommunistische Partei Österreichs;5;378;27;351;94;1;25.11.2012 06:05:15;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:05:22
BRGRAZ12;0213;SPÖ;Sozialdemokratische Partei Österreichs;1;417;19;398;37;1;25.11.2012 06:03:03;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:03:10
BRGRAZ12;0213;ÖVP;Österreichische Volkspartei;2;417;19;398;123;1;25.11.2012 06:03:03;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:03:10
BRGRAZ12;0213;FPÖ;Freiheitliche Partei Österreichs;3;417;19;398;30;1;25.11.2012 06:03:03;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:03:10
BRGRAZ12;0213;GRÜNE;Die Grünen - Die Grüne Alternative;4;417;19;398;122;1;25.11.2012 06:03:03;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:03:10
BRGRAZ12;0213;KPÖ;Kommunistische Partei Österreichs;5;417;19;398;86;1;25.11.2012 06:03:03;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:03:10
BRGRAZ12;0214;SPÖ;Sozialdemokratische Partei Österreichs;1;462;44;418;38;1;25.11.2012 06:06:36;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:06:43
BRGRAZ12;0214;ÖVP;Österreichische Volkspartei;2;462;44;418;143;1;25.11.2012 06:06:36;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:06:43
BRGRAZ12;0214;FPÖ;Freiheitliche Partei Österreichs;3;462;44;418;30;1;25.11.2012 06:06:36;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:06:43
BRGRAZ12;0214;GRÜNE;Die Grünen - Die Grüne Alternative;4;462;44;418;101;1;25.11.2012 06:06:36;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:06:43
BRGRAZ12;0214;KPÖ;Kommunistische Partei Österreichs;5;462;44;418;106;1;25.11.2012 06:06:36;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T18:06:43
BRGRAZ12;0215;SPÖ;Sozialdemokratische Partei Österreichs;1;342;36;306;30;1;25.11.2012 07:26:55;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:27:03
BRGRAZ12;0215;ÖVP;Österreichische Volkspartei;2;342;36;306;167;1;25.11.2012 07:26:55;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:27:03
BRGRAZ12;0215;FPÖ;Freiheitliche Partei Österreichs;3;342;36;306;22;1;25.11.2012 07:26:55;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:27:03
BRGRAZ12;0215;GRÜNE;Die Grünen - Die Grüne Alternative;4;342;36;306;49;1;25.11.2012 07:26:55;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:27:03
BRGRAZ12;0215;KPÖ;Kommunistische Partei Österreichs;5;342;36;306;38;1;25.11.2012 07:26:55;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:27:03
BRGRAZ12;0298;SPÖ;Sozialdemokratische Partei Österreichs;1;675;9;666;44;1;27.11.2012 08:43:21;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:43:23
BRGRAZ12;0298;ÖVP;Österreichische Volkspartei;2;675;9;666;205;1;27.11.2012 08:43:21;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:43:23
BRGRAZ12;0298;FPÖ;Freiheitliche Partei Österreichs;3;675;9;666;223;1;27.11.2012 08:43:21;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:43:23
BRGRAZ12;0298;GRÜNE;Die Grünen - Die Grüne Alternative;4;675;9;666;112;1;27.11.2012 08:43:21;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:43:23
BRGRAZ12;0298;KPÖ;Kommunistische Partei Österreichs;5;675;9;666;82;1;27.11.2012 08:43:21;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-27T08:43:23
BRGRAZ12;0299;SPÖ;Sozialdemokratische Partei Österreichs;1;746;20;726;79;1;26.11.2012 02:10:06;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:10:11
BRGRAZ12;0299;ÖVP;Österreichische Volkspartei;2;746;20;726;272;1;26.11.2012 02:10:06;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:10:11
BRGRAZ12;0299;FPÖ;Freiheitliche Partei Österreichs;3;746;20;726;44;1;26.11.2012 02:10:06;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:10:11
BRGRAZ12;0299;GRÜNE;Die Grünen - Die Grüne Alternative;4;746;20;726;136;1;26.11.2012 02:10:06;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:10:11
BRGRAZ12;0299;KPÖ;Kommunistische Partei Österreichs;5;746;20;726;195;1;26.11.2012 02:10:06;Schwartz Wolfgang/p14139@intra.graz.at/p14139@intra.graz.at/GGA-60101/2012-11-26T14:10:11
BRGRAZ12;0301;SPÖ;Sozialdemokratische Partei Österreichs;1;375;32;343;38;1;25.11.2012 06:11:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:11:48
BRGRAZ12;0301;ÖVP;Österreichische Volkspartei;2;375;32;343;137;1;25.11.2012 06:11:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:11:48
BRGRAZ12;0301;FPÖ;Freiheitliche Partei Österreichs;3;375;32;343;31;1;25.11.2012 06:11:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:11:48
BRGRAZ12;0301;GRÜNE;Die Grünen - Die Grüne Alternative;4;375;32;343;67;1;25.11.2012 06:11:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:11:48
BRGRAZ12;0301;KPÖ;Kommunistische Partei Österreichs;5;375;32;343;70;1;25.11.2012 06:11:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:11:48
BRGRAZ12;0302;SPÖ;Sozialdemokratische Partei Österreichs;1;360;26;334;32;1;25.11.2012 06:46:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:46:48
BRGRAZ12;0302;ÖVP;Österreichische Volkspartei;2;360;26;334;93;1;25.11.2012 06:46:41;Alois Krenn/AT:L6:65108597/krenn@graz.gv.at/AT:GGA-60101/2012-11-25T18:46:48
