wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;anzspr;aenderung_am;aenderung_durch
GRGRAZ12;0101;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;340;3;337;0;1;25.11.2012 05:35:10;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:35:16
GRGRAZ12;0102;SPÖ;Sozialdemokratische Partei Österreichs;1;393;6;387;41;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;ÖVP;Österreichische Volkspartei;2;393;6;387;113;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;FPÖ;Freiheitliche Partei Österreichs;3;393;6;387;46;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;GRÜNE;Die Grünen - Die Grüne Alternative;4;393;6;387;71;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;KPÖ;Kommunistische Partei Österreichs;5;393;6;387;88;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;BZÖ;BZÖ Wir säubern Graz;6;393;6;387;3;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;CP-G;Christliche Partei-Grössler;7;393;6;387;1;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;PIRAT;Piratenpartei Graz;8;393;6;387;21;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;;Einsparkraftwerk;9;393;6;387;0;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;BBB;Betty Baloo Bande;10;393;6;387;1;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0102;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;393;6;387;2;1;25.11.2012 05:30:37;Kopp Martin/p13976@intra.graz.at/p13976@intra.graz.at/GGA-60101/2012-11-25T17:30:43
GRGRAZ12;0103;SPÖ;Sozialdemokratische Partei Österreichs;1;382;9;373;33;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;ÖVP;Österreichische Volkspartei;2;382;9;373;129;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;FPÖ;Freiheitliche Partei Österreichs;3;382;9;373;41;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;GRÜNE;Die Grünen - Die Grüne Alternative;4;382;9;373;60;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;KPÖ;Kommunistische Partei Österreichs;5;382;9;373;86;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;BZÖ;BZÖ Wir säubern Graz;6;382;9;373;5;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;CP-G;Christliche Partei-Grössler;7;382;9;373;2;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;PIRAT;Piratenpartei Graz;8;382;9;373;16;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;;Einsparkraftwerk;9;382;9;373;0;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;BBB;Betty Baloo Bande;10;382;9;373;0;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0103;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;382;9;373;1;1;25.11.2012 07:01:01;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T19:01:08
GRGRAZ12;0104;SPÖ;Sozialdemokratische Partei Österreichs;1;370;2;368;35;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;ÖVP;Österreichische Volkspartei;2;370;2;368;105;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;FPÖ;Freiheitliche Partei Österreichs;3;370;2;368;39;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;GRÜNE;Die Grünen - Die Grüne Alternative;4;370;2;368;66;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;KPÖ;Kommunistische Partei Österreichs;5;370;2;368;92;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;BZÖ;BZÖ Wir säubern Graz;6;370;2;368;5;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;CP-G;Christliche Partei-Grössler;7;370;2;368;2;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;PIRAT;Piratenpartei Graz;8;370;2;368;18;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;;Einsparkraftwerk;9;370;2;368;0;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;BBB;Betty Baloo Bande;10;370;2;368;3;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0104;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;370;2;368;3;1;25.11.2012 05:04:03;Schwandner Gerald/p10308@intra.graz.at/p10308@intra.graz.at/GGA-60101/2012-11-25T17:04:09
GRGRAZ12;0201;SPÖ;Sozialdemokratische Partei Österreichs;1;383;3;380;43;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;ÖVP;Österreichische Volkspartei;2;383;3;380;125;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;FPÖ;Freiheitliche Partei Österreichs;3;383;3;380;48;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;GRÜNE;Die Grünen - Die Grüne Alternative;4;383;3;380;49;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;KPÖ;Kommunistische Partei Österreichs;5;383;3;380;91;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;BZÖ;BZÖ Wir säubern Graz;6;383;3;380;6;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;CP-G;Christliche Partei-Grössler;7;383;3;380;2;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;PIRAT;Piratenpartei Graz;8;383;3;380;14;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;;Einsparkraftwerk;9;383;3;380;0;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;BBB;Betty Baloo Bande;10;383;3;380;0;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0201;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;383;3;380;2;1;25.11.2012 05:08:51;Sandner Friedrich/p10047@intra.graz.at/p10047@intra.graz.at/GGA-60101/2012-11-25T17:08:57
GRGRAZ12;0202;SPÖ;Sozialdemokratische Partei Österreichs;1;485;6;479;55;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;ÖVP;Österreichische Volkspartei;2;485;6;479;164;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;FPÖ;Freiheitliche Partei Österreichs;3;485;6;479;54;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;GRÜNE;Die Grünen - Die Grüne Alternative;4;485;6;479;66;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;KPÖ;Kommunistische Partei Österreichs;5;485;6;479;112;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;BZÖ;BZÖ Wir säubern Graz;6;485;6;479;2;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;CP-G;Christliche Partei-Grössler;7;485;6;479;3;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;PIRAT;Piratenpartei Graz;8;485;6;479;20;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;;Einsparkraftwerk;9;485;6;479;0;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;BBB;Betty Baloo Bande;10;485;6;479;1;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0202;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;485;6;479;2;1;25.11.2012 05:12:41;Baumgartner Hildegard/p04775@intra.graz.at/p04775@intra.graz.at/GGA-60101/2012-11-25T17:12:48
GRGRAZ12;0203;SPÖ;Sozialdemokratische Partei Österreichs;1;413;4;409;60;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;ÖVP;Österreichische Volkspartei;2;413;4;409;134;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;FPÖ;Freiheitliche Partei Österreichs;3;413;4;409;52;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;GRÜNE;Die Grünen - Die Grüne Alternative;4;413;4;409;59;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;KPÖ;Kommunistische Partei Österreichs;5;413;4;409;80;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;BZÖ;BZÖ Wir säubern Graz;6;413;4;409;5;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;CP-G;Christliche Partei-Grössler;7;413;4;409;1;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;PIRAT;Piratenpartei Graz;8;413;4;409;14;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;;Einsparkraftwerk;9;413;4;409;1;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;BBB;Betty Baloo Bande;10;413;4;409;2;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0203;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;413;4;409;1;1;25.11.2012 05:06:15;Gerhard Titz/AT:L6:65121425/titz@graz.gv.at/AT:GGA-60101/2012-11-25T17:06:22
GRGRAZ12;0204;SPÖ;Sozialdemokratische Partei Österreichs;1;438;10;428;42;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;ÖVP;Österreichische Volkspartei;2;438;10;428;133;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;FPÖ;Freiheitliche Partei Österreichs;3;438;10;428;43;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;GRÜNE;Die Grünen - Die Grüne Alternative;4;438;10;428;94;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;KPÖ;Kommunistische Partei Österreichs;5;438;10;428;82;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;BZÖ;BZÖ Wir säubern Graz;6;438;10;428;0;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;CP-G;Christliche Partei-Grössler;7;438;10;428;2;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;PIRAT;Piratenpartei Graz;8;438;10;428;22;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;;Einsparkraftwerk;9;438;10;428;4;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;BBB;Betty Baloo Bande;10;438;10;428;5;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0204;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;438;10;428;1;1;25.11.2012 05:44:19;SchÃ¼mann Werner/p08726@intra.graz.at/p08726@intra.graz.at/GGA-60101/2012-11-25T17:44:25
GRGRAZ12;0205;SPÖ;Sozialdemokratische Partei Österreichs;1;399;1;398;44;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;ÖVP;Österreichische Volkspartei;2;399;1;398;144;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;FPÖ;Freiheitliche Partei Österreichs;3;399;1;398;36;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;GRÜNE;Die Grünen - Die Grüne Alternative;4;399;1;398;66;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;KPÖ;Kommunistische Partei Österreichs;5;399;1;398;87;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;BZÖ;BZÖ Wir säubern Graz;6;399;1;398;4;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;CP-G;Christliche Partei-Grössler;7;399;1;398;3;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;PIRAT;Piratenpartei Graz;8;399;1;398;12;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;;Einsparkraftwerk;9;399;1;398;2;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;BBB;Betty Baloo Bande;10;399;1;398;0;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0205;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;399;1;398;0;1;25.11.2012 05:18:57;Hinteregger Werner/p08627@intra.graz.at/p08627@intra.graz.at/GGA-60101/2012-11-25T17:19:04
GRGRAZ12;0206;SPÖ;Sozialdemokratische Partei Österreichs;1;453;9;444;37;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;ÖVP;Österreichische Volkspartei;2;453;9;444;145;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;FPÖ;Freiheitliche Partei Österreichs;3;453;9;444;32;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;GRÜNE;Die Grünen - Die Grüne Alternative;4;453;9;444;97;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;KPÖ;Kommunistische Partei Österreichs;5;453;9;444;100;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;BZÖ;BZÖ Wir säubern Graz;6;453;9;444;3;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;CP-G;Christliche Partei-Grössler;7;453;9;444;3;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;PIRAT;Piratenpartei Graz;8;453;9;444;24;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;;Einsparkraftwerk;9;453;9;444;0;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;BBB;Betty Baloo Bande;10;453;9;444;3;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0206;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;453;9;444;0;1;25.11.2012 06:22:58;Hubert Gölles/AT:L6:65121446/goelles@graz.gv.at/AT:GGA-60101/2012-11-25T18:23:05
GRGRAZ12;0207;SPÖ;Sozialdemokratische Partei Österreichs;1;430;6;424;42;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;ÖVP;Österreichische Volkspartei;2;430;6;424;139;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;FPÖ;Freiheitliche Partei Österreichs;3;430;6;424;39;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;GRÜNE;Die Grünen - Die Grüne Alternative;4;430;6;424;107;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;KPÖ;Kommunistische Partei Österreichs;5;430;6;424;78;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;BZÖ;BZÖ Wir säubern Graz;6;430;6;424;3;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;CP-G;Christliche Partei-Grössler;7;430;6;424;2;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;PIRAT;Piratenpartei Graz;8;430;6;424;12;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;;Einsparkraftwerk;9;430;6;424;2;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;BBB;Betty Baloo Bande;10;430;6;424;0;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0207;WIR;Wir Wähler-Wir packen es an-Wir wollen unser Recht;11;430;6;424;0;1;25.11.2012 04:57:17;Ukowitz Eva/p14989@intra.graz.at/p14989@intra.graz.at/GGA-60101/2012-11-25T16:57:23
GRGRAZ12;0208;SPÖ;Sozialdemokratische Partei Österreichs;1;468;4;464;42;1;25.11.2012 05:53:54;Josef Schmid/AT:L6:65107765/schmid@graz.gv.at/AT:GGA-60101/2012-11-25T17:54:01
GRGRAZ12;0208;ÖVP;Österreichische Volkspartei;2;468;4;464;143;1;25.11.2012 05:53:54;Josef Schmid/AT:L6:65107765/schmid@graz.gv.at/AT:GGA-60101/2012-11-25T17:54:01
GRGRAZ12;0208;FPÖ;Freiheitliche Partei Österreichs;3;468;4;464;32;1;25.11.2012 05:53:54;Josef Schmid/AT:L6:65107765/schmid@graz.gv.at/AT:GGA-60101/2012-11-25T17:54:01
